"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_PROCESSO";"DS_TP_MOTIVO";"DS_MOTIVO"
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"AP";"AP";"AMAPÁ";"30001718666";"06007526120226030000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"AP";"AP";"AMAPÁ";"30001718032";"06007430220226030000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"AP";"AP";"AMAPÁ";"30001718031";"06007448420226030000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"AP";"AP";"AMAPÁ";"30001718483";"06007482420226030000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"AP";"AP";"AMAPÁ";"30001718482";"06007473920226030000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"AP";"AP";"AMAPÁ";"30001718484";"06007490920226030000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"AP";"AP";"AMAPÁ";"30001718782";"06007534620226030000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"AP";"AP";"AMAPÁ";"30001718667";"06007517620226030000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"AP";"AP";"AMAPÁ";"30001606523";"06003516220226030000";"Fundamentos legais de julgamento";"Ficha limpa (LC 64/90)"
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"AP";"AP";"AMAPÁ";"30001615059";"06004945120226030000";"Fundamentos legais de julgamento";"Ficha limpa (LC 64/90)"
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"AP";"AP";"AMAPÁ";"30001595538";"06001853020226030000";"Fundamentos legais de julgamento";"Ficha limpa (LC 64/90)"
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"AP";"AP";"AMAPÁ";"30001595539";"06001879720226030000";"Fundamentos legais de julgamento";"Ficha limpa (LC 64/90)"
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"AP";"AP";"AMAPÁ";"30001611421";"06004858920226030000";"Fundamentos legais de julgamento";"Ficha limpa (LC 64/90)"
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"AP";"AP";"AMAPÁ";"30001636461";"06005932120226030000";"Fundamentos legais de julgamento";"Ficha limpa (LC 64/90)"
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"AP";"AP";"AMAPÁ";"30001604779";"06003048820226030000";"Fundamentos legais de julgamento";"Conduta vedada (Lei 9.504/97)."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"AP";"AP";"AMAPÁ";"30001636461";"06005932120226030000";"Fundamentos legais de julgamento";"Conduta vedada (Lei 9.504/97)."
