"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_PROCESSO";"DS_TP_MOTIVO";"DS_MOTIVO"
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001714175";"06008944820226180000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001714177";"06008953320226180000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001714181";"06008858620226180000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001718003";"06009143920226180000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001714176";"06008884120226180000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001714180";"06008867120226180000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001714171";"06008919320226180000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001714179";"06008936320226180000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001714174";"06008901120226180000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001714172";"06008875620226180000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001718004";"06009135420226180000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001714178";"06008892620226180000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001713962";"06008831920226180000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001714173";"06008927820226180000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001713963";"06008823420226180000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001601274";"06007836420226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001739382";"06012539520226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001646180";"06008320820226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001608708";"06006866420226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001722384";"06009317520226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001738231";"06010754920226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001713294";"06008485920226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001605307";"06006095520226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001644587";"06008173920226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001722392";"06009369720226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001601313";"06005280920226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001644588";"06008182420226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001644589";"06008165420226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001645374";"06008286820226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001645373";"06008269820226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001722385";"06009256820226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001601280";"06005073320226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001645372";"06008278320226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001713651";"06008728720226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001713656";"06008702020226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001722630";"06009403720226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001618287";"06007870420226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001726999";"06009611320226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001601290";"06004934920226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001644593";"06008209120226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001713668";"06009542120226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001644586";"06008130220226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"PI";"PI";"PIAUÍ";"180001725217";"06009533620226180000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
