"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_PROCESSO";"DS_TP_MOTIVO";"DS_MOTIVO"
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"RS";"RS";"RIO GRANDE DO SUL";"210001723434";"06017901020226210000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"RS";"RS";"RIO GRANDE DO SUL";"210001725909";"06018386620226210000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"RS";"RS";"RIO GRANDE DO SUL";"210001725913";"06018395120226210000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"RS";"RS";"RIO GRANDE DO SUL";"210001697795";"06017754120226210000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"RS";"RS";"RIO GRANDE DO SUL";"210001698076";"06017797820226210000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"RS";"RS";"RIO GRANDE DO SUL";"210001725901";"06018342920226210000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"RS";"RS";"RIO GRANDE DO SUL";"210001725908";"06018378120226210000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"RS";"RS";"RIO GRANDE DO SUL";"210001737241";"06021062320226210000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"RS";"RS";"RIO GRANDE DO SUL";"210001725903";"06018351420226210000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"RS";"RS";"RIO GRANDE DO SUL";"210001698074";"06017806320226210000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"RS";"RS";"RIO GRANDE DO SUL";"210001725911";"06018403620226210000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"RS";"RS";"RIO GRANDE DO SUL";"210001723435";"06017884020226210000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"RS";"RS";"RIO GRANDE DO SUL";"210001723437";"06017867020226210000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"RS";"RS";"RIO GRANDE DO SUL";"210001698075";"06017789320226210000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
