"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_PROCESSO";"DS_TP_MOTIVO";"DS_MOTIVO"
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001733371";"06010434920226250000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001690956";"06007836920226250000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001737728";"06011335720226250000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001690207";"06007698520226250000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001617963";"06004814020226250000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001691141";"06007853920226250000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001692377";"06008295820226250000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001711986";"06009282820226250000";"Fundamentos legais de julgamento";"Indeferimento de partido, federação ou coligação."
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001690206";"06007680320226250000";"Fundamentos legais de julgamento";"Ficha limpa (LC 64/90)"
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001713567";"06009092220226250000";"Fundamentos legais de julgamento";"Ficha limpa (LC 64/90)"
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001646906";"06006450520226250000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001693504";"06008408720226250000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001636666";"06005610420226250000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001635577";"06005169720226250000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001617963";"06004814020226250000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001691141";"06007853920226250000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001691814";"06008113720226250000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001668319";"06006919120226250000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001711986";"06009282820226250000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001618225";"06004493520226250000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001669436";"06008312820226250000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
"18/03/2026";"00:30:27";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"SE";"SE";"SERGIPE";"260001669094";"06007195920226250000";"Fundamentos legais de julgamento";"Ausência de requisito de registro "
